"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-02",,,,,"0.3","0.0","0.0",,"5.0","0.6","0.6",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-03",,,,,"2.3",,"0.0",,"5.6","0.0","5.6",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-04",,,,,"0.0","0.0","0.0",,"11.7","1.7","3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-05",,,,,"0.5","0.0","0.0",,"13.3","3.3","3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-06",,,,,"6.4","0.0","0.0",,"4.4","0.0","1.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-07",,,,,"6.6","0.0","0.0",,"4.4","1.7","3.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-08",,,,,"0.0","0.0","0.0",,"10.0","-2.8","-2.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-09",,,,,"0.3","0.0","0.0",,"2.8","-3.9","-2.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-10",,,,,"1.5","0.0","0.0",,"4.4","-2.8","3.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-11",,,,,"10.2","0.0","0.0",,"6.7","3.3","5.0",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-12",,,,,"3.8","0.0","0.0",,"8.3","2.2","2.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-13",,,,,"15.2","0.0","0.0",,"6.7","1.1","1.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-14",,,,,"2.0","0.0","0.0",,"5.6","-1.1","-1.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-15",,,,,"0.0","0.0","0.0",,"-1.1","-12.8","-12.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-16",,,,,"0.0","0.0","0.0",,"-1.7","-12.8","-2.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-17",,,,,"0.0","0.0","0.0",,"5.0","-3.3","0.6",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-18",,,,,"0.0","0.0","0.0",,"8.9","0.0","1.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-19",,,,,"0.0","0.0","0.0",,"7.2","1.1","3.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-20",,,,,"0.0","0.0","0.0",,"7.8","-3.3","-2.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-21",,,,,"0.0","0.0","0.0",,"1.1","-7.8","-7.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-22",,,,,"0.0","0.0","0.0",,"1.1","-7.2","-3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-23",,,,,"0.0","0.0","0.0",,"8.9","-4.4","-2.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-24",,,,,"0.0","0.0","0.0",,"11.7","-2.2","-2.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-25",,,,,"0.0","0.0","0.0",,"15.6","-2.2","5.0",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-26",,,,,"5.8","0.0","0.0",,"10.0","5.0","6.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-27",,,,,"8.9","0.0","0.0",,"8.3","4.4","4.4",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-28",,,,,"0.0","0.0","0.0",,"4.4","-2.8","-2.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-29",,,,,"0.0","0.0","0.0",,"3.3","-3.3","-2.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-01",,,,,"0.0","0.0","0.0",,"0.6","-5.0","-3.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-02",,,,,"0.0","0.0","0.0",,"5.6","-3.9","-2.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-03",,,,,"0.8","0.0","0.0",,"15.6","-3.3","6.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-04",,,,,"5.6","0.0","0.0",,"14.4","5.6","5.6",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-05",,,,,"0.5","0.0","0.0",,"11.7","2.2","2.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-06",,,,,"0.0","0.0","0.0",,"10.0","-2.2","-2.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-07",,,,,"1.8","0.0","0.0",,"6.1","-2.2","1.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-08",,,,,"0.0","0.0","0.0",,"7.2","0.6","1.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-09",,,,,"0.0","0.0","0.0",,"13.3","-1.7","2.2",,,,,,,,,,,,,,,,
