Unnamed: 0,id,amplitude,bias,xbias,hdd,cdd
6160,13282638958334310501,17.869957392691752,19.940214394095914,-0.565673284448351,3224.406798042962,4280.127654963977
6161,14511757959176453893,18.070091546581395,19.376035456874074,-0.6099638160383425,3442.762015383566,4127.817310549834
6162,6270423889124704954,16.23634337493474,24.41744518323399,-0.6871621734225714,1638.184048594486,5635.445533979218
6163,895791491752866588,18.1619219017642,22.49831584019116,-0.0483450365384948,2530.3081769490627,5266.701683954653
6164,3601820225240586998,17.66170966306098,20.487405980251594,-0.5214441793704032,3013.477997005345,4428.703726030642
6165,11895944366864219326,19.736626363294985,24.266444632577816,-0.6067396801056206,2366.441309324648,6264.495432928274
6166,1255217185277750111,18.090797205781183,22.674685704224576,-0.0522063235020808,2466.6517522998856,5318.9202599754335
6167,13218264535392360157,18.6643623485053,20.81751520891036,-0.5762144929037412,3121.85320039447,4753.960692648578
6168,11437604328991590915,15.102625836268436,17.12659948684683,-0.7247105624795378,3564.9104171328618,2772.0862799912284
6169,16183445348632730782,18.25917422859771,21.004186685699764,-0.5661185784375814,2982.066919900495,4736.817572405242
6170,17624351976114563247,17.5500334619035,20.855772233978545,-0.0827537705699325,2879.5877930202173,4536.830150744121
6171,11261098800236149696,18.77529529091736,20.90495025828382,-0.6096335819882337,3118.56350883069,4808.11582852316
6172,18067125932656341983,18.84337267187184,22.78492006437999,-0.6188821644267695,2588.85201150846,5513.544493806112
6173,8411577917930013939,19.518800044082063,21.745744841358267,-0.5788832641233058,3023.534721532565,5265.489082304947
6174,13525902191387472161,18.07089810934075,20.379670108466843,-0.592089934011509,3131.1921037705342,4475.635365033251
6175,9058380166303370603,18.41534451456194,19.601512052838466,-0.5721073795090951,3443.7097789057784,4276.903197620648
6176,12718994879259238959,19.74908234599461,23.10404587091549,-0.6062058483752879,2684.048925533879,5818.407062725355
6177,6975247372836234528,19.572931827314047,22.28116382900276,-0.0383245498581734,2879.9757457204155,5473.700381375227
6178,881304479489891798,19.007442271215417,22.057495288848006,-0.0402684258253598,2828.1649753985034,5274.939380171644
6179,17283417139653326381,18.08225269499828,21.34530820959897,-0.0865900829271472,2844.694715512399,4823.562209218921
6180,14091771408487958999,19.219843828458668,22.262079582841157,-0.0606523995521403,2813.101631868366,5394.287917795004
6181,15757065387784799363,16.734049853456767,20.659737469975813,-0.6370551772218305,2769.234120001581,4297.68163777569
6182,11426517596832232175,16.727137110775434,20.8953046732828,-0.5934287618958459,2697.637233065392,4380.852403412193
6183,6701576392265514928,18.22681513445788,21.27003887987045,-0.6193338940038219,2896.641639790288,4826.057183865175
6184,10321783397667587871,18.98785341302549,22.0997598443252,-0.616981337086307,2812.030396045264,5286.572613766922
6185,7052956476200741912,19.350108639566955,22.486662072306387,-0.0577672999434713,2775.8842429164024,5504.621224421699
6186,17179050257421488707,18.130733687365463,22.47601679634081,-0.6330741147145614,2530.216276835993,5251.95931203191
6187,13275332223768818738,17.906758193144764,21.3518318269719,-0.619684320475068,2806.595198613916,4789.748708934454
6188,2125866410925263995,18.913864780679543,21.352334381849168,-0.6170520099977184,3014.213197261247,4997.69688613615
6189,18294797684324581761,18.079241611553307,20.71943628049053,-0.5697530836582598,3030.0566260472924,4597.726262329574
6190,10763701131999200355,15.485674002318696,21.8029667698513,-0.6425312690335787,2180.3733987306523,4459.922566522956
6191,1203976948271388010,19.15718068805172,21.803125057942587,-0.5743667628260641,2932.398030794616,5212.051193862895
6192,611270273816338620,18.10651874318379,20.727629904865296,-0.5987140552448884,3033.2474060823165,4606.300253578816
6193,10191509639219899956,18.409661932842685,21.29130809263852,-0.0756721016216171,2928.118021070469,4871.507437933977
6194,4944215716733187490,18.732164514262823,21.09660226820633,-0.5590065488380344,3052.4160902482736,4867.883780459832
6195,11676297252192626288,17.103026075196183,21.499381737510124,-0.5707227467451488,2598.1715079761734,4678.265309520324
6196,5888247029595855436,17.821184826519822,20.059855002431767,-0.6122835272090686,3177.283049294809,4311.607785892481
6197,6189477143210460234,17.545404703129236,19.115014096442117,-0.5804619629614322,3416.1205873443414,3929.68484870681
6198,2722621358049349160,17.346003969314133,20.37820676455007,-0.5511520435678323,2981.062210313328,4324.544054622725
6199,5827006836626926504,18.999173806100583,21.0814560069854,-0.5620933169682915,3112.161502051509,4917.678098640916
6200,16974940924768328902,18.853502183687475,21.559792119092464,-0.5346445224349159,2940.7902824678163,5060.573704711565
6201,10108413097870136127,16.6720766773305,19.199286199102094,-0.6308220443128709,3206.846425571906,3775.777458381982
6202,11533033319650939220,17.397166195904248,17.557011495357056,-0.5598469131331146,3896.904963847031,3386.861516296616
6203,7247711424081225558,18.733983961490114,21.31134029465593,-0.5687610259764938,2989.1720280180325,4945.722601606982
6204,11383903653953293962,16.942980601977677,19.63022162231886,-0.6361511301894001,3127.6258053216666,3979.681411185158
6205,2399304496464028412,16.706817106237693,18.644708821964876,-0.6524558387299805,3392.206194301334,3596.7798903322555
6206,7439221440838903483,18.75718763597031,21.22212365418666,-0.6214297792221186,3020.310078873348,4918.245319673984
6207,9637745612349307812,17.739023697900656,24.570242236548246,-0.7855671019290196,1892.6833628896272,5990.332512301826
6208,17055515231820277125,19.04065859137136,23.727939538327867,-0.5573296620746944,2370.7594066610427,5915.015683342452
6209,15629219967333754791,16.880429673199536,19.947264153730146,-0.5700774263699562,3016.1611436335656,4076.513692634271
6210,10472186105570628665,19.86504495311081,20.02488489861614,-0.5631380367599709,3613.752279072458,4725.101657463262
6211,17542246049907845209,18.436640492498768,22.84692311052952,-0.5956600531650103,2489.068667623452,5454.497151241345
6212,16320993419144706401,17.98481515897615,23.25043310885124,-0.5843522629962505,2287.3543435738497,5517.8888960891145
6213,12528656454473438952,18.004681973210623,20.65392775688535,-0.6054093657450056,3034.294368638923,4558.924904912597
6214,3823754741520502457,15.694389821808784,17.79517040431777,-0.6626835707552425,3460.8592859947235,3107.2862416314983
6215,14576822246649108892,19.24359762712275,21.215648336528645,-0.0580037366032833,3122.804536848696,5016.485493948016
6216,10877923288505865087,18.122856105017245,19.437791118271672,-0.0871650649877308,3434.23902026134,4159.867784965829
6217,4214694890045540295,18.696133051305956,20.652361597137453,-0.6088997152172605,3178.242067377788,4701.843636697096
6218,6969627445562971945,18.451180514165348,21.77791578569868,0.0032630759541591,2794.57851762477,5057.6691888288005
